Rank,Company Name,Webpage,Description,Location,Year end,Annual sales rise over 3 years,Sales,Staff,Comments
77,SipcomCommunications service provider,https://www.fasttrack.co.uk/company_profile/sipcom/,"Its technology was used by more than 50,000 central government staff to work remotely",Central London,Mar 20,56.99%,"*12,452",37,"Its technology was used by more than 50,000 central government staff to work remotely"
78,AND DigitalDigital development services,https://www.fasttrack.co.uk/company_profile/and-digital/,Launched weekly webinars to help companies adjust to remote working,Central London,Dec 19,56.24%,"43,048",447,Launched weekly webinars to help companies adjust to remote working
79,Student BeansStudent loyalty network,https://www.fasttrack.co.uk/company_profile/student-beans-2/,Its insights into students' experience of the pandemic helped brands on its platform better target services,North London,Jun 20,56.14%,"*10,004",130,Its insights into students' experience of the pandemic helped brands on its platform better target services
80,disguiseLive event technology provider,https://www.fasttrack.co.uk/company_profile/disguise-3/,Waived subscription fees on its software to help customers during the pandemic,Central London,Dec 19,55.51%,"*34,642",109,Waived subscription fees on its software to help customers during the pandemic
81,FourNetIT consultancy,https://www.fasttrack.co.uk/company_profile/fournet/,"Helped 6,000 staff at the Bank of England move to home working within two weeks",Manchester,Jun 19,54.72%,"26,506",92,"Helped 6,000 staff at the Bank of England move to home working within two weeks"
82,WaracleMobile app developer,https://www.fasttrack.co.uk/company_profile/waracle/,Developed a mobile opioid prescription app to enhance end-of-life pain relief,Dundee,Dec 19,54.67%,"*11,779",88,Developed a mobile opioid prescription app to enhance end-of-life pain relief
83,Brompton TechnologyVideo technology provider,https://www.fasttrack.co.uk/company_profile/brompton-technology-4/,Its LED screens can provide an alternative backdrop for film crews limited by social distancing restrictions,West London,Aug 19,54.09%,"*11,970",40,Its LED screens can provide an alternative backdrop for film crews limited by social distancing restrictions
84,GrabyoCloud video platform,https://www.fasttrack.co.uk/company_profile/grabyo-2/,Its video-editing platform helped Electronic Arts and the FA to broadcast e-sports during lockdown,Central London,Dec 19,53.59%,"*5,145",59,Its video-editing platform helped Electronic Arts and the FA to broadcast e-sports during lockdown
85,StarLeafVideo conferencing platform,https://www.fasttrack.co.uk/company_profile/starleaf-4/,More than 50 NHS trusts use its video conferencing software,Watford,Dec 19,53.58%,"*23,200",217,More than 50 NHS trusts use its video conferencing software
86,YourParkingSpaceOnline parking platform,https://www.fasttrack.co.uk/company_profile/yourparkingspace/,"Has offered free parking to NHS staff at more than 1,000 car parks",Central London,Aug 19,53.56%,"*9,469",35,"Has offered free parking to NHS staff at more than 1,000 car parks"
87,KymabBiopharmaceuticals developer,https://www.fasttrack.co.uk/company_profile/kymab/,Working with the Bill & Melinda Gates Foundation to use its technology to test potential Covid-19 vaccines,Cambridge,Sep 19,52.81%,"8,671",183,Working with the Bill & Melinda Gates Foundation to use its technology to test potential Covid-19 vaccines
88,Reverse Media GroupDigital media publisher,https://www.fasttrack.co.uk/company_profile/reverse-media-group-2/,Is seeing a return to normality after losing advertisers due to budget restrictions during lockdown,Central London,Jul 19,52.61%,"*8,608",15,Is seeing a return to normality after losing advertisers due to budget restrictions during lockdown
89,Singletrack SystemsCapital markets software,https://www.fasttrack.co.uk/company_profile/singletrack-systems/,Helped investment banking clients work remotely with free access to its mobile app,Central London,Jul 19,52.49%,"6,665",53,Helped investment banking clients work remotely with free access to its mobile app
90,CrispSocial media intelligence,https://www.fasttrack.co.uk/company_profile/crisp/,Has helped governments and social media platforms combat the spread of fake Covid-19 news,Leeds,Dec 19,52.22%,"14,768",133,Has helped governments and social media platforms combat the spread of fake Covid-19 news
91,BusuuLanguage learning platform,https://www.fasttrack.co.uk/company_profile/busuu/,"Saw 50,000 new users sign up daily during the lockdown",Central London,Dec 19,52.14%,"16,589",82,"Saw 50,000 new users sign up daily during the lockdown"
92,ContactEngineConversational AI technology,https://www.fasttrack.co.uk/company_profile/contactengine-2/,Its technology helped broadband firms schedule home visits safely during lockdown,Central London,Oct 19,51.73%,"7,910",71,Its technology helped broadband firms schedule home visits safely during lockdown
93,SitekitHealthcare software developer,https://www.fasttrack.co.uk/company_profile/sitekit/,Reassigned employees to assist on the healthcare side of the business during the pandemic,Isle of Skye,Mar 20,50.65%,"*8,500",72,Reassigned employees to assist on the healthcare side of the business during the pandemic
94,VCGCommunications service provider,https://www.fasttrack.co.uk/company_profile/vcg/,Set up the communications network at the NHS Nightingale hospital in Birmingham,Greater Manchester,Mar 20,49.74%,"29,712",115,Set up the communications network at the NHS Nightingale hospital in Birmingham
95,MPBPhoto equipment trading platform,https://www.fasttrack.co.uk/company_profile/mpb-2/,Its website features work from photographers documenting the impact of Covid-19,Brighton,Mar 20,49.58%,"*44,179",122,Its website features work from photographers documenting the impact of Covid-19
96,DecibelCustomer experience technology,https://www.fasttrack.co.uk/company_profile/decibel-2/,"With more people shopping online, it says companies are even more focused on customer experience",Central London,Jun 19,49.25%,"*7,365",115,"With more people shopping online, it says companies are even more focused on customer experience"
97,In Touch NetworksProfessional networking platform,https://www.fasttrack.co.uk/company_profile/in-touch-networks-2/,Opened its first overseas office in Chicago and acquired a leadership consultancy last year,Manchester,Feb 20,49.14%,"*11,420",115,Opened its first overseas office in Chicago and acquired a leadership consultancy last year
98,Igloo VisionVirtual reality technology developer,https://www.fasttrack.co.uk/company_profile/igloo-vision/,Its virtual reality environments are making university lectures more interactive,Shropshire,Mar 20,49.02%,"*9,000",80,Its virtual reality environments are making university lectures more interactive
99,SmartSearchAnti-money laundering software,https://www.fasttrack.co.uk/company_profile/smartsearch-3/,Its electronic facial recognition verification is helping firms avoid disruption caused by social distancing,West Yorkshire,Dec 19,48.50%,"*10,400",98,Its electronic facial recognition verification is helping firms avoid disruption caused by social distancing
100,Plan.comCommunications provider,https://www.fasttrack.co.uk/company_profile/plan-com-3/,"Says it is operating business as usual since March, with customer support, suppliers and services unaffected",Isle of Man,Sep 19,48.22%,"*57,260",91,"Says it is operating business as usual since March, with customer support, suppliers and services unaffected"
